ppnr,cond,space_cam,space_tv,space_print,cam_a,cam_b,cam_c,tv_a,tv_b,tv_c,print_a,print_b,print_c,age,gender
10,4,acc,dec,uni,1000,1250,1975,350,560,600,150,200,250,22,F
16,4,acc,dec,uni,50,75,100,60,70,100,50,60,70,19,F
22,4,acc,dec,uni,200,280,340,350,755.99,1100,50,60,70,20,M
28,4,acc,dec,uni,95,120,150,70,95,120,50,70,90,19,F
34,4,acc,dec,uni,75,100,145,500,800,1000,100,150,200,21,F
40,4,acc,dec,uni,50,75,150,200,600,800,50,75,90,20,M
46,4,acc,dec,uni,40,60,100,80,200,400,100,200,275,20,M
52,4,acc,dec,uni,150,250,550,300,550,700,100,150,350,19,M
58,4,acc,dec,uni,100,120,200,100,300,350,100,110,120,20,M
64,4,acc,dec,uni,130,200,275,200,500,700,50,75,90,19,M
9,3,acc,uni,dec,100,135,200,200,500,900,100,150,175,24,M
15,3,acc,uni,dec,100,150,200,200,250,300,50,100,150,21,M
21,3,acc,uni,dec,200,250,380,350,475,600,100,325,375,21,M
27,3,acc,uni,dec,100,200,450,220,530,1200,35,50,60,20,M
33,3,acc,uni,dec,200,280,375,200,300,390,100,200,250,20,F
39,3,acc,uni,dec,160,180,230,100,200,300,150,250,600,20,M
45,3,acc,uni,dec,100,200,300,150,220,300,100,150,200,20,F
51,3,acc,uni,dec,50,60,100,250,600,1000,100,250,500,21,M
57,3,acc,uni,dec,150,200,350,100,175,260,100,250,275,19,F
63,3,acc,uni,dec,20,30,45,400,1000,1500,45,60,75,19,M
6,6,dec,acc,uni,80,240,320,500,600,900,100,150,200,20,F
12,6,dec,acc,uni,40,65,90,600,1000,1800,40,50,70,20,M
24,6,dec,acc,uni,50,150,200,500,600,1000,100,200,250,19,F
30,6,dec,acc,uni,100,125,150,350,500,1000,300,600,1000,20,M
36,6,dec,acc,uni,200,700,900,1000,1400,2000,100,200,310,19,M
42,6,dec,acc,uni,10,20,25,300,500,1000,60,70,75,20,M
48,6,dec,acc,uni,300,330,350,800,850,950,120,135,150,20,F
54,6,dec,acc,uni,50,70,100,100,125,175,50,60,70,19,M
60,6,dec,acc,uni,90,160,200,200,250,350,100,175,250,19,F
66,6,dec,acc,uni,100,140,175,200,225,300,100,125,200,20,M
5,5,dec,uni,acc,100,175,200,150,200,300,80,110,150,21,F
17,5,dec,uni,acc,50,110,150,90,150,180,100,110,120,20,M
11,5,dec,uni,acc,50,100,150,400,900,1600,100,200,300,19,M
23,5,dec,uni,acc,200,400,475,100,200,300,100,145,215,19,F
29,5,dec,uni,acc,50,135,165,100,175,200,35,45,60,20,M
35,5,dec,uni,acc,60,150,210,700,850,1100,75,100,120,21,F
41,5,dec,uni,acc,190,230,250,400,500,600,100,125,175,22,F
53,5,dec,uni,acc,50,99,199,179,299,999,119,199,299,19,M
47,5,dec,uni,acc,15,50,59,69,149,299,150,200,300,19,M
59,5,dec,uni,acc,45,130,200,345,999,2000,50,60,75,20,M
65,5,dec,uni,acc,50,75,100,250,650,1200,40,60,85,19,M
7,1,uni,acc,dec,80,100,150,200,300,400,50,75,130,19,F
13,1,uni,acc,dec,25,50,100,600,800,1400,30,125,150,20,M
19,1,uni,acc,dec,50,75,100,50,75,100,50,75,100,19,F
25,1,uni,acc,dec,50,75,100,2000,2500,4000,150,155,300,19,F
31,1,uni,acc,dec,30,70,120,450,550,700,140,170,300,20,M
37,1,uni,acc,dec,99,149,199,320,399,799,100,175,225,19,F
43,1,uni,acc,dec,50,90,150,300,500,1200,40,150,200,20,F
49,1,uni,acc,dec,100,130,160,800,900,1300,40,70,80,20,M
55,1,uni,acc,dec,100,150,250,250,650,1150,200,350,450,20,F
61,1,uni,acc,dec,100,150,200,500,700,1200,120,250,300,24,M
8,2,uni,dec,acc,20,80,500,150,500,1200,40,55,60,21,M
14,2,uni,dec,acc,20,30,40,150,375,450,100,125,200,19,M
20,2,uni,dec,acc,60,110,140,250,600,750,40,45,50,21,M
26,2,uni,dec,acc,50,75,100,200,650,1000,150,200,350,20,M
32,2,uni,dec,acc,150,250,400,100,250,300,50,65,80,20,F
44,2,uni,dec,acc,50,100,150,150,550,750,15,20,35,19,M
38,2,uni,dec,acc,98,198,250,200,600,800,150,200,250,20,F
56,2,uni,dec,acc,20,40,55,150,300,350,100,150,175,20,M
50,2,uni,dec,acc,100,150,200,400,600,1000,50,75,100,19,F
62,2,uni,dec,acc,50,100,150,150,220,350,200,250,300,20,M
